path    axes  conc   strain      dEbar      dPolyV  
1          0  0.25     U         0.0000     0.0000
1          1  0.25     LM       -0.0120     0.3941
1          1  0.25     LT        0.0131     0.8814

1          0  0.25     U         0.0000     0.0000
1          2  0.25     LM       -0.0355     0.4125
1          2  0.25     LT       -0.0520     0.8852

1          0  0.25     U         0.0000     0.0000
1          3  0.25     LM       -0.0027     0.3988
1          3  0.25     LT       -0.0088     0.8319

2          0  0.25     U         0.0000     0.0000
2          1  0.25     LM        0.0151     0.4068
2          1  0.25     LT       -0.0112     0.9258

2          0  0.25     U         0.0000     0.0000
2          2  0.25     LM        0.0199     0.3949
2          2  0.25     LT        0.0143     0.8233

2          0  0.25     U         0.0000     0.0000
2          3  0.25     LM        0.0197     0.4020
2          3  0.25     LT        0.0143     0.8184

3          0  0.25     U         0.0000     0.0000
3          1  0.25     LM       -0.0550     0.3495
3          1  0.25     LT       -0.0721     0.8377

3          0  0.25     U         0.0000     0.0000
3          2  0.25     LM       -0.0032     0.3546
3          2  0.25     LT       -0.0389     0.7941

3          0  0.25     U         0.0000     0.0000
3          3  0.25     LM       -0.0550     0.3502
3          3  0.25     LT       -0.0744     0.8636

1R         0  0.25     U         0.0000     0.0000
1R         1  0.25     LM       -0.0352     0.3941
1R         1  0.25     LT       -0.0517     0.8814

1R         0  0.25     U         0.0000     0.0000
1R         2  0.25     LM        0.0123     0.4125
1R         2  0.25     LT        0.0128     0.8852

1R         0  0.25     U         0.0000     0.0000
1R         3  0.25     LM       -0.0027     0.3988
1R         3  0.25     LT       -0.0088     0.8319

2R         0  0.25     U         0.0000     0.0000
2R         1  0.25     LM        0.0150     0.4068
2R         1  0.25     LT       -0.0113     0.9258

2R         0  0.25     U         0.0000     0.0000
2R         2  0.25     LM        0.0198     0.3949
2R         2  0.25     LT        0.0141     0.8233

2R         0  0.25     U         0.0000     0.0000
2R         3  0.25     LM        0.0196     0.4020
2R         3  0.25     LT        0.0142     0.8184

3R         0  0.25     U         0.0000     0.0000
3R         1  0.25     LM        0.0349     0.3495
3R         1  0.25     LT        0.0403     0.8377

3R         0  0.25     U         0.0000     0.0000
3R         2  0.25     LM       -0.0072     0.3546
3R         2  0.25     LT       -0.0072     0.7941

3R         0  0.25     U         0.0000     0.0000
3R         3  0.25     LM        0.0349     0.3502
3R         3  0.25     LT        0.0406     0.8636

